Admissions,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
"Applied","2497","2552","2563","3685","4154","4507","5005"
"Offered","1527","1727","1924","2561","2803","2871","2253"
"Enrolled","446","555","684","709","784","759","528"
"Offered Rate","61.2","67.7","75.1","69.5","67.5","63.7","45"
"Yield","29.2","32.1","35.6","27.7","28","26.4","23.4"
