Admissions,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
"Applied","18648","18389","16925","22522","23392","24001","24091"
"Offered","12193","13035","11506","13042","13279","13328","14211"
"Enrolled","3930","4824","3937","4003","4098","4009","4036"
"Offered Rate","65.4","70.9","68","57.9","56.8","55.5","59"
"Yield","32.2","37","34.2","30.7","30.9","30.1","28.4"
