Admissions,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
"Applied","15736","15496","15313","18855","19042","19071","19641"
"Offered","9439","9891","9532","8268","9389","8969","9331"
"Enrolled","4268","5078","4796","4002","4514","4346","4481"
"Offered Rate","60","63.8","62.2","43.9","49.3","47","47.5"
"Yield","45.2","51.3","50.3","48.4","48.1","48.5","48"
