Admissions,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
"Applied","16109","16415","15397","23140","26196","28069","32793"
"Offered","11188","12443","10651","15423","16363","17888","19366"
"Enrolled","1946","2526","1773","2716","2587","2795","2763"
"Offered Rate","69.5","75.8","69.2","66.7","62.5","63.7","59.1"
"Yield","17.4","20.3","16.6","17.6","15.8","15.6","14.3"
