Admissions,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
"Applied","27171","26615","25989","35281","37205","38595","43426"
"Offered","17844","19044","16987","19659","20964","22035","24789"
"Enrolled","5249","6350","5389","5467","5666","5757","6305"
"Offered Rate","65.7","71.6","65.4","55.7","56.3","57.1","57.1"
"Yield","29.4","33.3","31.7","27.8","27","26.1","25.4"
