Admissions,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
"Applied","29215","29711","28570","39355","41996","43625","47406"
"Offered","18662","20342","19325","23161","24175","24467","25354"
"Enrolled","5795","7097","6474","6624","6869","6771","6807"
"Offered Rate","63.9","68.5","67.6","58.9","57.6","56.1","53.5"
"Yield","31.1","34.9","33.5","28.6","28.4","27.7","26.8"
