Admissions,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
"Applied","3795","4129","4521","5970","6799","7396","8618"
"Offered","2409","2745","2894","3417","3628","4001","4523"
"Enrolled","630","838","894","869","840","933","1131"
"Offered Rate","63.5","66.5","64","57.2","53.4","54.1","52.5"
"Yield","26.2","30.5","30.9","25.4","23.2","23.3","25"
