Admissions,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
"Applied","2630","2200","2140","2640","3242","3515","5028"
"Offered","1965","1992","858","530","1577","2390","3343"
"Enrolled","419","507","95","94","232","370","437"
"Offered Rate","74.7","90.5","40.1","20.1","48.6","68","66.5"
"Yield","21.3","25.5","11.1","17.7","14.7","15.5","13.1"
