Admissions,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
"Applied","1777","2009","2066","3490","3625","3772","4317"
"Offered","987","1129","1392","1999","2151","1968","1501"
"Enrolled","300","325","428","470","494","454","338"
"Offered Rate","55.5","56.2","67.4","57.3","59.3","52.2","34.8"
"Yield","30.4","28.8","30.7","23.5","23","23.1","22.5"
