Admissions,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
"Applied","18714","18761","17605","23487","26313","26909","30005"
"Offered","11346","12534","10789","12505","13786","14472","15484"
"Enrolled","3399","4298","3517","3732","3904","3885","3931"
"Offered Rate","60.6","66.8","61.3","53.2","52.4","53.8","51.6"
"Yield","30","34.3","32.6","29.8","28.3","26.8","25.4"
