Admissions,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
"Applied","31845","31911","30710","41995","45238","47140","52434"
"Offered","20627","22334","20183","23691","25752","26857","28697"
"Enrolled","6214","7604","6569","6718","7101","7141","7244"
"Offered Rate","64.8","70","65.7","56.4","56.9","57","54.7"
"Yield","30.1","34","32.5","28.4","27.6","26.6","25.2"
