Admissions,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
"Applied","13047","13103","13082","18452","18814","20126","22228"
"Offered","9221","9762","9379","11150","11905","12328","13091"
"Enrolled","2798","3291","3045","2974","3183","3241","3285"
"Offered Rate","70.7","74.5","71.7","60.4","63.3","61.3","58.9"
"Yield","30.3","33.7","32.5","26.7","26.7","26.3","25.1"
